,REF_DATE,GEO,Labour_characteristics,NOC,Sex,VALUE,lat,long
1327,2021-01,Prince Edward Island,Labour force,"Occupations in art, culture, recreation and sport",Males,1.0,46.25,-63.0
1328,2021-01,Prince Edward Island,Labour force,"Occupations in art, culture, recreation and sport",Females,0.8,46.25,-63.0
1329,2021-01,Prince Edward Island,Labour force,Professional occupations in art and culture,Both sexes,0.8,46.25,-63.0
1330,2021-01,Prince Edward Island,Labour force,Professional occupations in art and culture,Males,0.3,46.25,-63.0
1331,2021-01,Prince Edward Island,Labour force,Professional occupations in art and culture,Females,0.5,46.25,-63.0
1332,2021-01,Prince Edward Island,Labour force,"Technical occupations in art, culture, recreation and sport",Both sexes,1.0,46.25,-63.0
1333,2021-01,Prince Edward Island,Labour force,"Technical occupations in art, culture, recreation and sport",Males,0.7,46.25,-63.0
1334,2021-01,Prince Edward Island,Labour force,"Technical occupations in art, culture, recreation and sport",Females,0.3,46.25,-63.0
1335,2021-01,Prince Edward Island,Labour force,Sales and service occupations,Both sexes,19.3,46.25,-63.0
1336,2021-01,Prince Edward Island,Labour force,Sales and service occupations,Males,9.1,46.25,-63.0
1337,2021-01,Prince Edward Island,Labour force,Sales and service occupations,Females,10.2,46.25,-63.0
1338,2021-01,Prince Edward Island,Labour force,Retail sales supervisors and specialized sales occupations,Both sexes,2.0,46.25,-63.0
1339,2021-01,Prince Edward Island,Labour force,Retail sales supervisors and specialized sales occupations,Males,0.9,46.25,-63.0
1340,2021-01,Prince Edward Island,Labour force,Retail sales supervisors and specialized sales occupations,Females,1.1,46.25,-63.0
1341,2021-01,Prince Edward Island,Labour force,Service supervisors and specialized service occupations,Both sexes,3.2,46.25,-63.0
1342,2021-01,Prince Edward Island,Labour force,Service supervisors and specialized service occupations,Males,1.2,46.25,-63.0
1343,2021-01,Prince Edward Island,Labour force,Service supervisors and specialized service occupations,Females,1.9,46.25,-63.0
1344,2021-01,Prince Edward Island,Labour force,Sales representatives and salespersons - wholesale and retail trade,Both sexes,2.8,46.25,-63.0
1345,2021-01,Prince Edward Island,Labour force,Sales representatives and salespersons - wholesale and retail trade,Males,1.5,46.25,-63.0
1346,2021-01,Prince Edward Island,Labour force,Sales representatives and salespersons - wholesale and retail trade,Females,1.3,46.25,-63.0
1347,2021-01,Prince Edward Island,Labour force,Service representatives and other customer and personal services occupations,Both sexes,3.8,46.25,-63.0
1348,2021-01,Prince Edward Island,Labour force,Service representatives and other customer and personal services occupations,Males,1.4,46.25,-63.0
1349,2021-01,Prince Edward Island,Labour force,Service representatives and other customer and personal services occupations,Females,2.4,46.25,-63.0
1350,2021-01,Prince Edward Island,Labour force,Sales support occupations,Both sexes,3.9,46.25,-63.0
1351,2021-01,Prince Edward Island,Labour force,Sales support occupations,Males,1.8,46.25,-63.0
1352,2021-01,Prince Edward Island,Labour force,Sales support occupations,Females,2.1,46.25,-63.0
1353,2021-01,Prince Edward Island,Labour force,"Service support and other service occupations, n.e.c.",Both sexes,3.7,46.25,-63.0
1354,2021-01,Prince Edward Island,Labour force,"Service support and other service occupations, n.e.c.",Males,2.2,46.25,-63.0
1355,2021-01,Prince Edward Island,Labour force,"Service support and other service occupations, n.e.c.",Females,1.5,46.25,-63.0
1356,2021-01,Prince Edward Island,Labour force,"Trades, transport and equipment operators and related occupations",Both sexes,10.9,46.25,-63.0
1357,2021-01,Prince Edward Island,Labour force,"Trades, transport and equipment operators and related occupations",Males,10.3,46.25,-63.0
1358,2021-01,Prince Edward Island,Labour force,"Trades, transport and equipment operators and related occupations",Females,0.6,46.25,-63.0
1359,2021-01,Prince Edward Island,Labour force,"Industrial, electrical and construction trades",Both sexes,4.5,46.25,-63.0
1360,2021-01,Prince Edward Island,Labour force,"Industrial, electrical and construction trades",Males,4.4,46.25,-63.0
1361,2021-01,Prince Edward Island,Labour force,"Industrial, electrical and construction trades",Females,,46.25,-63.0
1362,2021-01,Prince Edward Island,Labour force,Maintenance and equipment operation trades,Both sexes,1.8,46.25,-63.0
1363,2021-01,Prince Edward Island,Labour force,Maintenance and equipment operation trades,Males,1.6,46.25,-63.0
1364,2021-01,Prince Edward Island,Labour force,Maintenance and equipment operation trades,Females,,46.25,-63.0
1365,2021-01,Prince Edward Island,Labour force,"Other installers, repairers and servicers and material handlers",Both sexes,1.1,46.25,-63.0
1366,2021-01,Prince Edward Island,Labour force,"Other installers, repairers and servicers and material handlers",Males,1.0,46.25,-63.0
1367,2021-01,Prince Edward Island,Labour force,"Other installers, repairers and servicers and material handlers",Females,,46.25,-63.0
1368,2021-01,Prince Edward Island,Labour force,Transport and heavy equipment operation and related maintenance occupations,Both sexes,2.7,46.25,-63.0
1369,2021-01,Prince Edward Island,Labour force,Transport and heavy equipment operation and related maintenance occupations,Males,2.4,46.25,-63.0
1370,2021-01,Prince Edward Island,Labour force,Transport and heavy equipment operation and related maintenance occupations,Females,0.3,46.25,-63.0
1371,2021-01,Prince Edward Island,Labour force,"Trades helpers, construction labourers and related occupations",Both sexes,0.9,46.25,-63.0
1372,2021-01,Prince Edward Island,Labour force,"Trades helpers, construction labourers and related occupations",Males,0.8,46.25,-63.0
1373,2021-01,Prince Edward Island,Labour force,"Trades helpers, construction labourers and related occupations",Females,,46.25,-63.0
1374,2021-01,Prince Edward Island,Labour force,"Natural resources, agriculture and related production occupations",Both sexes,4.8,46.25,-63.0
1375,2021-01,Prince Edward Island,Labour force,"Natural resources, agriculture and related production occupations",Males,4.1,46.25,-63.0
1376,2021-01,Prince Edward Island,Labour force,"Natural resources, agriculture and related production occupations",Females,0.7,46.25,-63.0
1377,2021-01,Prince Edward Island,Labour force,"Supervisors and technical occupations in natural resources, agriculture and related production",Both sexes,2.5,46.25,-63.0
1378,2021-01,Prince Edward Island,Labour force,"Supervisors and technical occupations in natural resources, agriculture and related production",Males,2.2,46.25,-63.0
1379,2021-01,Prince Edward Island,Labour force,"Supervisors and technical occupations in natural resources, agriculture and related production",Females,0.4,46.25,-63.0
1380,2021-01,Prince Edward Island,Labour force,"Workers in natural resources, agriculture and related production",Both sexes,1.4,46.25,-63.0
1381,2021-01,Prince Edward Island,Labour force,"Workers in natural resources, agriculture and related production",Males,1.3,46.25,-63.0
1382,2021-01,Prince Edward Island,Labour force,"Workers in natural resources, agriculture and related production",Females,0.2,46.25,-63.0
1383,2021-01,Prince Edward Island,Labour force,"Harvesting, landscaping and natural resources labourers",Both sexes,0.8,46.25,-63.0
1384,2021-01,Prince Edward Island,Labour force,"Harvesting, landscaping and natural resources labourers",Males,0.6,46.25,-63.0
1385,2021-01,Prince Edward Island,Labour force,"Harvesting, landscaping and natural resources labourers",Females,0.2,46.25,-63.0
1386,2021-01,Prince Edward Island,Labour force,Occupations in manufacturing and utilities,Both sexes,3.9,46.25,-63.0
1387,2021-01,Prince Edward Island,Labour force,Occupations in manufacturing and utilities,Males,2.7,46.25,-63.0
1388,2021-01,Prince Edward Island,Labour force,Occupations in manufacturing and utilities,Females,1.2,46.25,-63.0
1389,2021-01,Prince Edward Island,Labour force,"Processing, manufacturing and utilities supervisors and central control operators",Both sexes,1.0,46.25,-63.0
1390,2021-01,Prince Edward Island,Labour force,"Processing, manufacturing and utilities supervisors and central control operators",Males,1.0,46.25,-63.0
1391,2021-01,Prince Edward Island,Labour force,"Processing, manufacturing and utilities supervisors and central control operators",Females,,46.25,-63.0
1392,2021-01,Prince Edward Island,Labour force,Processing and manufacturing machine operators and related production workers,Both sexes,1.6,46.25,-63.0
1393,2021-01,Prince Edward Island,Labour force,Processing and manufacturing machine operators and related production workers,Males,0.8,46.25,-63.0
1394,2021-01,Prince Edward Island,Labour force,Processing and manufacturing machine operators and related production workers,Females,0.8,46.25,-63.0
1395,2021-01,Prince Edward Island,Labour force,Assemblers in manufacturing,Both sexes,0.5,46.25,-63.0
1396,2021-01,Prince Edward Island,Labour force,Assemblers in manufacturing,Males,0.5,46.25,-63.0
1397,2021-01,Prince Edward Island,Labour force,Assemblers in manufacturing,Females,,46.25,-63.0
1398,2021-01,Prince Edward Island,Labour force,"Labourers in processing, manufacturing and utilities",Both sexes,0.8,46.25,-63.0
1399,2021-01,Prince Edward Island,Labour force,"Labourers in processing, manufacturing and utilities",Males,0.4,46.25,-63.0
1400,2021-01,Prince Edward Island,Labour force,"Labourers in processing, manufacturing and utilities",Females,0.3,46.25,-63.0
1401,2021-01,Prince Edward Island,Labour force,Unclassified occupations,Both sexes,0.6,46.25,-63.0
1402,2021-01,Prince Edward Island,Labour force,Unclassified occupations,Males,0.4,46.25,-63.0
1403,2021-01,Prince Edward Island,Labour force,Unclassified occupations,Females,0.2,46.25,-63.0
1404,2021-01,Prince Edward Island,Full-time,Total Employment,Both sexes,61.3,46.25,-63.0
1405,2021-01,Prince Edward Island,Full-time,Total Employment,Males,33.1,46.25,-63.0
1406,2021-01,Prince Edward Island,Full-time,Total Employment,Females,28.2,46.25,-63.0
1407,2021-01,Prince Edward Island,Full-time,Management occupations,Both sexes,5.8,46.25,-63.0
1408,2021-01,Prince Edward Island,Full-time,Management occupations,Males,3.4,46.25,-63.0
1409,2021-01,Prince Edward Island,Full-time,Management occupations,Females,2.3,46.25,-63.0
1410,2021-01,Prince Edward Island,Full-time,Senior management occupations,Both sexes,,46.25,-63.0
1411,2021-01,Prince Edward Island,Full-time,Senior management occupations,Males,,46.25,-63.0
1412,2021-01,Prince Edward Island,Full-time,Senior management occupations,Females,,46.25,-63.0
1413,2021-01,Prince Edward Island,Full-time,Specialized middle management occupations -,Both sexes,1.2,46.25,-63.0
1414,2021-01,Prince Edward Island,Full-time,Specialized middle management occupations -,Males,0.5,46.25,-63.0
1415,2021-01,Prince Edward Island,Full-time,Specialized middle management occupations -,Females,0.8,46.25,-63.0
1416,2021-01,Prince Edward Island,Full-time,Middle management occupations in retail and wholesale trade and customer services,Both sexes,1.9,46.25,-63.0
1417,2021-01,Prince Edward Island,Full-time,Middle management occupations in retail and wholesale trade and customer services,Males,0.8,46.25,-63.0
1418,2021-01,Prince Edward Island,Full-time,Middle management occupations in retail and wholesale trade and customer services,Females,1.2,46.25,-63.0
1419,2021-01,Prince Edward Island,Full-time,"Middle management occupations in trades, transportation, production and utilities -",Both sexes,2.5,46.25,-63.0
1420,2021-01,Prince Edward Island,Full-time,"Middle management occupations in trades, transportation, production and utilities -",Males,2.2,46.25,-63.0
1421,2021-01,Prince Edward Island,Full-time,"Middle management occupations in trades, transportation, production and utilities -",Females,0.3,46.25,-63.0
1422,2021-01,Prince Edward Island,Full-time,"Business, finance and administration occupations",Both sexes,10.7,46.25,-63.0
1423,2021-01,Prince Edward Island,Full-time,"Business, finance and administration occupations",Males,2.8,46.25,-63.0
1424,2021-01,Prince Edward Island,Full-time,"Business, finance and administration occupations",Females,7.9,46.25,-63.0
1425,2021-01,Prince Edward Island,Full-time,Professional occupations in business and finance,Both sexes,2.6,46.25,-63.0
1426,2021-01,Prince Edward Island,Full-time,Professional occupations in business and finance,Males,1.1,46.25,-63.0
1427,2021-01,Prince Edward Island,Full-time,Professional occupations in business and finance,Females,1.4,46.25,-63.0
1428,2021-01,Prince Edward Island,Full-time,Administrative and financial supervisors and administrative occupations,Both sexes,4.3,46.25,-63.0
1429,2021-01,Prince Edward Island,Full-time,Administrative and financial supervisors and administrative occupations,Males,0.8,46.25,-63.0
1430,2021-01,Prince Edward Island,Full-time,Administrative and financial supervisors and administrative occupations,Females,3.6,46.25,-63.0
1431,2021-01,Prince Edward Island,Full-time,"Finance, insurance and related business administrative occupations",Both sexes,0.9,46.25,-63.0
1432,2021-01,Prince Edward Island,Full-time,"Finance, insurance and related business administrative occupations",Males,0.2,46.25,-63.0
1433,2021-01,Prince Edward Island,Full-time,"Finance, insurance and related business administrative occupations",Females,0.8,46.25,-63.0
1434,2021-01,Prince Edward Island,Full-time,Office support occupations,Both sexes,1.8,46.25,-63.0
1435,2021-01,Prince Edward Island,Full-time,Office support occupations,Males,0.2,46.25,-63.0
1436,2021-01,Prince Edward Island,Full-time,Office support occupations,Females,1.6,46.25,-63.0
1437,2021-01,Prince Edward Island,Full-time,"Distribution, tracking and scheduling co-ordination occupations",Both sexes,1.0,46.25,-63.0
1438,2021-01,Prince Edward Island,Full-time,"Distribution, tracking and scheduling co-ordination occupations",Males,0.5,46.25,-63.0
1439,2021-01,Prince Edward Island,Full-time,"Distribution, tracking and scheduling co-ordination occupations",Females,0.5,46.25,-63.0
1440,2021-01,Prince Edward Island,Full-time,Natural and applied sciences and related occupations,Both sexes,4.9,46.25,-63.0
1441,2021-01,Prince Edward Island,Full-time,Natural and applied sciences and related occupations,Males,3.9,46.25,-63.0
1442,2021-01,Prince Edward Island,Full-time,Natural and applied sciences and related occupations,Females,1.0,46.25,-63.0
1443,2021-01,Prince Edward Island,Full-time,Professional occupations in natural and applied sciences,Both sexes,2.7,46.25,-63.0
1444,2021-01,Prince Edward Island,Full-time,Professional occupations in natural and applied sciences,Males,2.3,46.25,-63.0
1445,2021-01,Prince Edward Island,Full-time,Professional occupations in natural and applied sciences,Females,0.4,46.25,-63.0
1446,2021-01,Prince Edward Island,Full-time,Technical occupations related to natural and applied sciences,Both sexes,2.2,46.25,-63.0
1447,2021-01,Prince Edward Island,Full-time,Technical occupations related to natural and applied sciences,Males,1.6,46.25,-63.0
1448,2021-01,Prince Edward Island,Full-time,Technical occupations related to natural and applied sciences,Females,0.6,46.25,-63.0
1449,2021-01,Prince Edward Island,Full-time,Health occupations,Both sexes,5.9,46.25,-63.0
1450,2021-01,Prince Edward Island,Full-time,Health occupations,Males,1.1,46.25,-63.0
1451,2021-01,Prince Edward Island,Full-time,Health occupations,Females,4.7,46.25,-63.0
1452,2021-01,Prince Edward Island,Full-time,Professional occupations in nursing,Both sexes,1.5,46.25,-63.0
1453,2021-01,Prince Edward Island,Full-time,Professional occupations in nursing,Males,0.2,46.25,-63.0
1454,2021-01,Prince Edward Island,Full-time,Professional occupations in nursing,Females,1.3,46.25,-63.0
1455,2021-01,Prince Edward Island,Full-time,Professional occupations in health (except nursing),Both sexes,1.0,46.25,-63.0
1456,2021-01,Prince Edward Island,Full-time,Professional occupations in health (except nursing),Males,0.3,46.25,-63.0
1457,2021-01,Prince Edward Island,Full-time,Professional occupations in health (except nursing),Females,0.7,46.25,-63.0
1458,2021-01,Prince Edward Island,Full-time,Technical occupations in health,Both sexes,1.4,46.25,-63.0
1459,2021-01,Prince Edward Island,Full-time,Technical occupations in health,Males,0.3,46.25,-63.0
1460,2021-01,Prince Edward Island,Full-time,Technical occupations in health,Females,1.1,46.25,-63.0
1461,2021-01,Prince Edward Island,Full-time,Assisting occupations in support of health services,Both sexes,1.9,46.25,-63.0
1462,2021-01,Prince Edward Island,Full-time,Assisting occupations in support of health services,Males,0.2,46.25,-63.0
1463,2021-01,Prince Edward Island,Full-time,Assisting occupations in support of health services,Females,1.7,46.25,-63.0
1464,2021-01,Prince Edward Island,Full-time,"Occupations in education, law and social, community and government services",Both sexes,7.8,46.25,-63.0
1465,2021-01,Prince Edward Island,Full-time,"Occupations in education, law and social, community and government services",Males,2.6,46.25,-63.0
1466,2021-01,Prince Edward Island,Full-time,"Occupations in education, law and social, community and government services",Females,5.2,46.25,-63.0
1467,2021-01,Prince Edward Island,Full-time,Professional occupations in education services,Both sexes,2.9,46.25,-63.0
1468,2021-01,Prince Edward Island,Full-time,Professional occupations in education services,Males,0.9,46.25,-63.0
1469,2021-01,Prince Edward Island,Full-time,Professional occupations in education services,Females,2.0,46.25,-63.0
1470,2021-01,Prince Edward Island,Full-time,"Professional occupations in law and social, community and government services",Both sexes,2.0,46.25,-63.0
1471,2021-01,Prince Edward Island,Full-time,"Professional occupations in law and social, community and government services",Males,0.8,46.25,-63.0
1472,2021-01,Prince Edward Island,Full-time,"Professional occupations in law and social, community and government services",Females,1.3,46.25,-63.0
1473,2021-01,Prince Edward Island,Full-time,"Paraprofessional occupations in legal, social, community and education services",Both sexes,1.5,46.25,-63.0
1474,2021-01,Prince Edward Island,Full-time,"Paraprofessional occupations in legal, social, community and education services",Males,0.3,46.25,-63.0
1475,2021-01,Prince Edward Island,Full-time,"Paraprofessional occupations in legal, social, community and education services",Females,1.3,46.25,-63.0
1476,2021-01,Prince Edward Island,Full-time,Occupations in front-line public protection services,Both sexes,0.4,46.25,-63.0
1477,2021-01,Prince Edward Island,Full-time,Occupations in front-line public protection services,Males,0.4,46.25,-63.0
1478,2021-01,Prince Edward Island,Full-time,Occupations in front-line public protection services,Females,,46.25,-63.0
1479,2021-01,Prince Edward Island,Full-time,"Care providers and educational, legal and public protection support occupations",Both sexes,0.9,46.25,-63.0
1480,2021-01,Prince Edward Island,Full-time,"Care providers and educational, legal and public protection support occupations",Males,0.2,46.25,-63.0
1481,2021-01,Prince Edward Island,Full-time,"Care providers and educational, legal and public protection support occupations",Females,0.7,46.25,-63.0
1482,2021-01,Prince Edward Island,Full-time,"Occupations in art, culture, recreation and sport",Both sexes,1.1,46.25,-63.0
1483,2021-01,Prince Edward Island,Full-time,"Occupations in art, culture, recreation and sport",Males,0.6,46.25,-63.0
1484,2021-01,Prince Edward Island,Full-time,"Occupations in art, culture, recreation and sport",Females,0.5,46.25,-63.0
1485,2021-01,Prince Edward Island,Full-time,Professional occupations in art and culture,Both sexes,0.5,46.25,-63.0
1486,2021-01,Prince Edward Island,Full-time,Professional occupations in art and culture,Males,0.2,46.25,-63.0
1487,2021-01,Prince Edward Island,Full-time,Professional occupations in art and culture,Females,0.3,46.25,-63.0
1488,2021-01,Prince Edward Island,Full-time,"Technical occupations in art, culture, recreation and sport",Both sexes,0.6,46.25,-63.0
1489,2021-01,Prince Edward Island,Full-time,"Technical occupations in art, culture, recreation and sport",Males,0.4,46.25,-63.0
1490,2021-01,Prince Edward Island,Full-time,"Technical occupations in art, culture, recreation and sport",Females,0.2,46.25,-63.0
1491,2021-01,Prince Edward Island,Full-time,Sales and service occupations,Both sexes,10.3,46.25,-63.0
1492,2021-01,Prince Edward Island,Full-time,Sales and service occupations,Males,5.1,46.25,-63.0
1493,2021-01,Prince Edward Island,Full-time,Sales and service occupations,Females,5.2,46.25,-63.0
1494,2021-01,Prince Edward Island,Full-time,Retail sales supervisors and specialized sales occupations,Both sexes,1.7,46.25,-63.0
1495,2021-01,Prince Edward Island,Full-time,Retail sales supervisors and specialized sales occupations,Males,0.8,46.25,-63.0
1496,2021-01,Prince Edward Island,Full-time,Retail sales supervisors and specialized sales occupations,Females,0.9,46.25,-63.0
1497,2021-01,Prince Edward Island,Full-time,Service supervisors and specialized service occupations,Both sexes,1.9,46.25,-63.0
1498,2021-01,Prince Edward Island,Full-time,Service supervisors and specialized service occupations,Males,0.8,46.25,-63.0
1499,2021-01,Prince Edward Island,Full-time,Service supervisors and specialized service occupations,Females,1.1,46.25,-63.0
1500,2021-01,Prince Edward Island,Full-time,Sales representatives and salespersons - wholesale and retail trade,Both sexes,1.6,46.25,-63.0
1501,2021-01,Prince Edward Island,Full-time,Sales representatives and salespersons - wholesale and retail trade,Males,1.1,46.25,-63.0
1502,2021-01,Prince Edward Island,Full-time,Sales representatives and salespersons - wholesale and retail trade,Females,0.5,46.25,-63.0
1503,2021-01,Prince Edward Island,Full-time,Service representatives and other customer and personal services occupations,Both sexes,2.2,46.25,-63.0
1504,2021-01,Prince Edward Island,Full-time,Service representatives and other customer and personal services occupations,Males,1.0,46.25,-63.0
1505,2021-01,Prince Edward Island,Full-time,Service representatives and other customer and personal services occupations,Females,1.2,46.25,-63.0
1506,2021-01,Prince Edward Island,Full-time,Sales support occupations,Both sexes,1.1,46.25,-63.0
1507,2021-01,Prince Edward Island,Full-time,Sales support occupations,Males,0.5,46.25,-63.0
1508,2021-01,Prince Edward Island,Full-time,Sales support occupations,Females,0.6,46.25,-63.0
1509,2021-01,Prince Edward Island,Full-time,"Service support and other service occupations, n.e.c.",Both sexes,1.7,46.25,-63.0
1510,2021-01,Prince Edward Island,Full-time,"Service support and other service occupations, n.e.c.",Males,0.9,46.25,-63.0
1511,2021-01,Prince Edward Island,Full-time,"Service support and other service occupations, n.e.c.",Females,0.8,46.25,-63.0
1512,2021-01,Prince Edward Island,Full-time,"Trades, transport and equipment operators and related occupations",Both sexes,8.6,46.25,-63.0
1513,2021-01,Prince Edward Island,Full-time,"Trades, transport and equipment operators and related occupations",Males,8.3,46.25,-63.0
1514,2021-01,Prince Edward Island,Full-time,"Trades, transport and equipment operators and related occupations",Females,0.3,46.25,-63.0
1515,2021-01,Prince Edward Island,Full-time,"Industrial, electrical and construction trades",Both sexes,3.9,46.25,-63.0
1516,2021-01,Prince Edward Island,Full-time,"Industrial, electrical and construction trades",Males,3.8,46.25,-63.0
1517,2021-01,Prince Edward Island,Full-time,"Industrial, electrical and construction trades",Females,,46.25,-63.0
1518,2021-01,Prince Edward Island,Full-time,Maintenance and equipment operation trades,Both sexes,1.7,46.25,-63.0
1519,2021-01,Prince Edward Island,Full-time,Maintenance and equipment operation trades,Males,1.6,46.25,-63.0
1520,2021-01,Prince Edward Island,Full-time,Maintenance and equipment operation trades,Females,,46.25,-63.0
1521,2021-01,Prince Edward Island,Full-time,"Other installers, repairers and servicers and material handlers",Both sexes,0.9,46.25,-63.0
1522,2021-01,Prince Edward Island,Full-time,"Other installers, repairers and servicers and material handlers",Males,0.9,46.25,-63.0
1523,2021-01,Prince Edward Island,Full-time,"Other installers, repairers and servicers and material handlers",Females,,46.25,-63.0
1524,2021-01,Prince Edward Island,Full-time,Transport and heavy equipment operation and related maintenance occupations,Both sexes,1.9,46.25,-63.0
1525,2021-01,Prince Edward Island,Full-time,Transport and heavy equipment operation and related maintenance occupations,Males,1.7,46.25,-63.0
1526,2021-01,Prince Edward Island,Full-time,Transport and heavy equipment operation and related maintenance occupations,Females,0.2,46.25,-63.0
1527,2021-01,Prince Edward Island,Full-time,"Trades helpers, construction labourers and related occupations",Both sexes,0.2,46.25,-63.0
1528,2021-01,Prince Edward Island,Full-time,"Trades helpers, construction labourers and related occupations",Males,0.2,46.25,-63.0
1529,2021-01,Prince Edward Island,Full-time,"Trades helpers, construction labourers and related occupations",Females,,46.25,-63.0
1530,2021-01,Prince Edward Island,Full-time,"Natural resources, agriculture and related production occupations",Both sexes,3.3,46.25,-63.0
1531,2021-01,Prince Edward Island,Full-time,"Natural resources, agriculture and related production occupations",Males,2.9,46.25,-63.0
1532,2021-01,Prince Edward Island,Full-time,"Natural resources, agriculture and related production occupations",Females,0.4,46.25,-63.0
1533,2021-01,Prince Edward Island,Full-time,"Supervisors and technical occupations in natural resources, agriculture and related production",Both sexes,2.0,46.25,-63.0
1534,2021-01,Prince Edward Island,Full-time,"Supervisors and technical occupations in natural resources, agriculture and related production",Males,1.8,46.25,-63.0
1535,2021-01,Prince Edward Island,Full-time,"Supervisors and technical occupations in natural resources, agriculture and related production",Females,,46.25,-63.0
1536,2021-01,Prince Edward Island,Full-time,"Workers in natural resources, agriculture and related production",Both sexes,0.9,46.25,-63.0
1537,2021-01,Prince Edward Island,Full-time,"Workers in natural resources, agriculture and related production",Males,0.8,46.25,-63.0
1538,2021-01,Prince Edward Island,Full-time,"Workers in natural resources, agriculture and related production",Females,0.2,46.25,-63.0
1539,2021-01,Prince Edward Island,Full-time,"Harvesting, landscaping and natural resources labourers",Both sexes,0.4,46.25,-63.0
1540,2021-01,Prince Edward Island,Full-time,"Harvesting, landscaping and natural resources labourers",Males,0.3,46.25,-63.0
1541,2021-01,Prince Edward Island,Full-time,"Harvesting, landscaping and natural resources labourers",Females,,46.25,-63.0
1542,2021-01,Prince Edward Island,Full-time,Occupations in manufacturing and utilities,Both sexes,3.1,46.25,-63.0
1543,2021-01,Prince Edward Island,Full-time,Occupations in manufacturing and utilities,Males,2.4,46.25,-63.0
1544,2021-01,Prince Edward Island,Full-time,Occupations in manufacturing and utilities,Females,0.7,46.25,-63.0
1545,2021-01,Prince Edward Island,Full-time,"Processing, manufacturing and utilities supervisors and central control operators",Both sexes,0.8,46.25,-63.0
1546,2021-01,Prince Edward Island,Full-time,"Processing, manufacturing and utilities supervisors and central control operators",Males,0.8,46.25,-63.0
1547,2021-01,Prince Edward Island,Full-time,"Processing, manufacturing and utilities supervisors and central control operators",Females,,46.25,-63.0
1548,2021-01,Prince Edward Island,Full-time,Processing and manufacturing machine operators and related production workers,Both sexes,1.3,46.25,-63.0
1549,2021-01,Prince Edward Island,Full-time,Processing and manufacturing machine operators and related production workers,Males,0.8,46.25,-63.0
1550,2021-01,Prince Edward Island,Full-time,Processing and manufacturing machine operators and related production workers,Females,0.5,46.25,-63.0
1551,2021-01,Prince Edward Island,Full-time,Assemblers in manufacturing,Both sexes,0.4,46.25,-63.0
1552,2021-01,Prince Edward Island,Full-time,Assemblers in manufacturing,Males,0.4,46.25,-63.0
1553,2021-01,Prince Edward Island,Full-time,Assemblers in manufacturing,Females,,46.25,-63.0
1554,2021-01,Prince Edward Island,Full-time,"Labourers in processing, manufacturing and utilities",Both sexes,0.5,46.25,-63.0
1555,2021-01,Prince Edward Island,Full-time,"Labourers in processing, manufacturing and utilities",Males,0.3,46.25,-63.0
1556,2021-01,Prince Edward Island,Full-time,"Labourers in processing, manufacturing and utilities",Females,0.2,46.25,-63.0
1557,2021-01,Prince Edward Island,Full-time,Unclassified occupations,Both sexes,,46.25,-63.0
1558,2021-01,Prince Edward Island,Full-time,Unclassified occupations,Males,,46.25,-63.0
1559,2021-01,Prince Edward Island,Full-time,Unclassified occupations,Females,,46.25,-63.0
1560,2021-01,Prince Edward Island,Part-time,Total Employment,Both sexes,12.3,46.25,-63.0
1561,2021-01,Prince Edward Island,Part-time,Total Employment,Males,5.0,46.25,-63.0
1562,2021-01,Prince Edward Island,Part-time,Total Employment,Females,7.3,46.25,-63.0
1563,2021-01,Prince Edward Island,Part-time,Management occupations,Both sexes,0.7,46.25,-63.0
1564,2021-01,Prince Edward Island,Part-time,Management occupations,Males,0.3,46.25,-63.0
1565,2021-01,Prince Edward Island,Part-time,Management occupations,Females,0.5,46.25,-63.0
1566,2021-01,Prince Edward Island,Part-time,Senior management occupations,Both sexes,,46.25,-63.0
1567,2021-01,Prince Edward Island,Part-time,Senior management occupations,Males,,46.25,-63.0
1568,2021-01,Prince Edward Island,Part-time,Senior management occupations,Females,,46.25,-63.0
1569,2021-01,Prince Edward Island,Part-time,Specialized middle management occupations -,Both sexes,,46.25,-63.0
1570,2021-01,Prince Edward Island,Part-time,Specialized middle management occupations -,Males,,46.25,-63.0
1571,2021-01,Prince Edward Island,Part-time,Specialized middle management occupations -,Females,,46.25,-63.0
1572,2021-01,Prince Edward Island,Part-time,Middle management occupations in retail and wholesale trade and customer services,Both sexes,0.6,46.25,-63.0
1573,2021-01,Prince Edward Island,Part-time,Middle management occupations in retail and wholesale trade and customer services,Males,0.2,46.25,-63.0
1574,2021-01,Prince Edward Island,Part-time,Middle management occupations in retail and wholesale trade and customer services,Females,0.3,46.25,-63.0
1575,2021-01,Prince Edward Island,Part-time,"Middle management occupations in trades, transportation, production and utilities -",Both sexes,0.2,46.25,-63.0
1576,2021-01,Prince Edward Island,Part-time,"Middle management occupations in trades, transportation, production and utilities -",Males,,46.25,-63.0
1577,2021-01,Prince Edward Island,Part-time,"Middle management occupations in trades, transportation, production and utilities -",Females,,46.25,-63.0
1578,2021-01,Prince Edward Island,Part-time,"Business, finance and administration occupations",Both sexes,1.7,46.25,-63.0
1579,2021-01,Prince Edward Island,Part-time,"Business, finance and administration occupations",Males,0.2,46.25,-63.0
1580,2021-01,Prince Edward Island,Part-time,"Business, finance and administration occupations",Females,1.5,46.25,-63.0
1581,2021-01,Prince Edward Island,Part-time,Professional occupations in business and finance,Both sexes,0.3,46.25,-63.0
1582,2021-01,Prince Edward Island,Part-time,Professional occupations in business and finance,Males,,46.25,-63.0
